[00:00] 回到Domakaba的部分的話,
[00:05] 請幫我在開著門的情況底下,
[00:08] 按一下後機、室內機的Close鍵,
[00:16] 或者是Open鍵,要看型號,
[00:19] 反正就是黑色的或是白色的按鍵,
[00:22] 點一下,按一下,
[00:24] 看一下這個鎖鑽有沒有正常的聲出,
[00:27] 如果有正常的聲出,
[00:31] 代表這邊沒問題,
[00:33] 不管什麼按一下,
[00:35] 還是按一下,
[00:36] 再按一下,
[00:38] 都可以解鎖上鎖正常,
[00:40] 鎖鑽都可以自由聲出,
[00:41] 代表沒問題,
[00:42] 可是一關上門,
[00:43] 它就會上鎖失敗的話,
[00:45] 那就是要麻煩拍我們的受口片,
[00:49] 門框的受口片這個地方,
[00:51] 去看一下受口片是否微歪斜,
[00:56] 是否裡面有東西擋住,
[00:58] 它上鎖等等的情形發生,
[01:00] 對,
[01:01] 這個就是常常關鎖失敗,
[01:04] 或是解鎖失敗會造成的情形,
[01:07] 關鎖失敗就是代表鎖鑽撞到東西,
[01:10] 這是其中一個原因,
[01:12] 解鎖失敗代表,
[01:16] 鎖鑽它卡到了,
[01:19] 它伸出來的時候,
[01:21] 它對應的點是受口片,
[01:23] 或者是門框,
[01:25] 那解鎖失敗,
[01:27] 有可能是鎖鑽卡到了受口片,
[01:32] 導致它伸不回去,
[01:34] 這是有可能的情形,
[01:36] 這是這樣子,
[01:38] DOMAKABA是這樣,
[01:40] 這個基本上不會有這個問題,
[01:44] 因為它是看那個卡榫,
[01:46] 但是這個有遇到,
[01:48] 然後,
[01:50] 再來就是,
[01:52] 這個偏向是,
[01:55] 客人也可以知道,
[01:56] 師傅也可以知道的東西,
[01:58] 我們現在就,
[02:00] 就,
[02:02] 我可以發這裡面錄嗎?
[02:04] 看一下,
