[00:00] 在前面評估好之後,會知道是不是特殊門,是不是需要加特殊安裝費等等的。
[00:07] 反正不管怎樣是確定的,因為在前面評估要安裝的時候,就已經有所有的資訊。
[00:13] 所有的資訊會上這個系統。
[00:15] 上這個系統之後會給伺服看到。
[00:17] 伺服看到之後,又會再填一個安裝完畢的系統回去。
[00:22] 就同樣的東西會再填回去。
[00:24] 就跟飛機門的靠一樣。
[00:26] 填回去之後呢,
[00:30] 有點不一樣,但是我等一下再講它就不一樣了。
[00:32] 填回去之後呢,就是前面是安裝的單,還沒安裝。
[00:38] 反正已經客戶下單了,發送出去。
[00:42] 然後如果可以整合成一個單是更好的。
[00:45] 然後伺服就做完之後,把這個單填寫完成。
[00:50] 譬如說客戶資料,客戶資料其實我們自己要寫啦,我們可以不要像大人一樣。
[00:55] 反正安裝完之後就上傳照片,上傳已完工這樣子。
[01:00] 然後就知道這個單是找誰代工。
[01:03] 然後會計就會收到這一個單的所有資訊,就不用分兩個單的。
[01:07] 就是一個單。
[01:08] 它是代工單,還是經銷商自己賣所的單,自己伺服出去做的單,還是什麼什麼單。
[01:14] 反正它裡面我們可以自己做嘛,都可以選好。
[01:17] 好,代工單多少錢?
[01:19] 多少錢?
[01:20] 如果兩千塊,那這兩千塊就OK。
[01:23] 就是看完照片OK沒問題,就是打勾就可以放放。
[01:27] 所以你在一個單一個單,你就可以拉縮,好,代工單打勾,所有代工單就跑出來了。
[01:36] 然後每個多少錢?
[01:38] 因為不一樣價錢,我們試錢就要先做好這件事情。
[01:42] 然後就可以知道多少錢。
[01:43] 不知道多少錢的時候,會計就可以直接拉一個總額,確認一下,然後就匯款。
[01:49] 可是你代工單應該是好幾筆吧?
[01:52] 好幾筆啊。
[01:53] 流水帳?
[01:54] 就是我剛剛那一盤。
[01:55] 每一筆代工單都是不同的師傅?
[01:57] 不是,這個師傅會有個代號。
[02:00] 哦,了解,所以他可能這個月接了幾單。
[02:03] 然後他總共要打多少錢出去。
[02:05] 對對對對。
[02:06] 所以會計就直接出一本帳給他。
[02:09] 就是把大內給我的書,你不知道什麼會變成電子書。
[02:12] 所以會計到可能每一筆單都要點進去看。
[02:15] 當初他需要說他不會。
[02:18] 他不會,因為他會是我們在前面在評估的時候說,這個單是找誰代工?
[02:24] 還是這個單是經銷商自己賣的,自己裝自己賣的單?
[02:31] 他會在前面這一步就先做好。
[02:34] 所以上系統之後,我的預想是,上系統之後會有兩個勾。
[02:40] 一個是代工單,一個是自己賣的單。
[02:44] 經銷商他就不干我的事。
[02:47] 我們自己賣掉了,之後再說。
[02:50] 代工單一打勾就知道說,他這個人師傅裝多少啊。
[02:56] 你講代工都是指說你派出去的?
[02:59] 派出去,我委外我們賣。
[03:01] 可是你自己是指什麼?你也去裝嗎?
[03:03] 我自己就是我自己去裝。
[03:05] 哦,你自己的師傅?
[03:06] 我自己的師傅,我自己的人,我自己裝也好。
[03:08] 哦,了解。
[03:09] 那當然是固定薪水吧,或是怎麼樣,再研究。
[03:13] 所以我等於是會計他就可以知道每一筆師傅,他要付多少錢出去。
[03:19] 對,就很快。
[03:22] 所以如果你前面評估那個人,他很重要。
[03:26] 因為如果他評估錯了,會計也不會檢查,就直接放。
[03:33] 現在大內就是會計要直接檢查。
[03:35] 對啊,可是你前面評估那一段,大腦幫你整理好,你人還是要看啊。
[03:45] 這段是省不了的。
[03:47] 對,但是至少整理好之後我就不用那麼累。
[03:50] 是啦。
[03:51] 譬如說,但你的整個環節就只有這個人,這個卡關的人。
[03:55] 這個人很重要。
[03:56] 對,因為這個人他沒做好,會計也不會看,就直接錯了就錯了,就直接出去了。
[04:02] 對,所以我們才說前面這個人,我們要用AI的方式幫他分類好。
[04:08] 譬如說三星電子鎖,是裝輔助鎖,還是裝這種大手。
[04:15] 那這個價錢是1500,那個價錢是2000,三星是這個價錢。
[04:20] 多貓卡吧是2200,大手是2200,這個是1200,所以價錢不一樣。
[04:25] 所以我們在,所以等於說品牌,還有裝手類型,就要先分類好。
[04:31] 把價格都訂好。
[04:32] 分類好之後,訂好之後,我這個人我就知道說,我就很方便知道說這個品牌,然後鎖的類型,代工多少錢。
[04:40] 我用勾的嘛,我用按的嘛。
[04:42] 那按錯就,對啊,按錯就打。
[04:47] 所以我的意思是說,其實流程是沒有問題。
[04:51] 那我想到的事情是,怎麼讓人的介入越來越少。
[04:56] 因為你這邊還是要人工勾單子,出表單。
[05:00] 但是其實還好,因為當我們在派工給師父的時候,因為我先勾了嘛,我哥有時候師父會看到嘛,因為是同一張單嘛。
[05:11] 他會看到價錢,他會看到什麼鎖。
[05:14] 因為假設今天是大鎖,可是我看到的價錢是1200,不合理,那我會回報。
[05:22] OK,所以就是重開。
[05:24] 所以其實會有兩個方式,會有兩個。
[05:26] 在到會計之前,一定會有至少兩個人去懷疑這件事情。
[05:32] 了解。
[05:33] 我不可能拿1200去接這個的錢。
[05:36] 了解。
[05:37] 對。
[05:38] 好,反正師父覺得不合理會跟你講。
[05:40] 一定會啊。
[05:41] 那你就來看單子啊。
[05:42] 是不是選錯了,是不是勾錯了。
[05:44] 好,了解。
[05:47] 好啊。
[05:49] 那回去想一下。
[05:50] 你現在還是一樣嘛,客人還是主要透過LINE這邊去問問題。
[05:56] 對。
[05:57] 因為我之前看Elver做的,他是直接自己做Demo的網站。
[06:04] 對,他一直做網站。
[06:06] 他是做網站。
[06:07] 那你未來有想要全部用一個網站嗎?
[06:11] 客人有問題就直接自我來商量。
[06:13] 還是一樣的?
[06:14] 我今天看河倫是這樣子。
[06:16] 河倫是這樣子。
[06:17] Toyota。
[06:19] 我想問你電子鎖這一塊有像你剛剛講的這套系統嗎?
[06:25] 目前你自己看到。
[06:26] 我們都討論成這樣。
[06:29] 好像沒有。
[06:30] 超難耶。
[06:31] 連河倫,你看河倫好了。
[06:33] 河倫這麼大的企業啊。
[06:34] 他這邊都是基本嘛。
[06:36] 什麼什麼什麼。
[06:37] 個人化,他這邊全部是機器人。
[06:39] 他這邊你打字是沒人理你的。
[06:41] 他這邊你打字是沒人理你的。
[06:46] 他這邊你打字是沒人理你的。
[06:47] 可是你要去這邊。
[06:48] 他才有一個這個。
[06:49] 這個叫什麼?我也看不懂。
[06:51] 這個叫什麼?
[06:52] 這個網子。
[06:53] 這邊才是真的。
[06:54] 這個做法很簡單。
[06:56] 我們先在外面做一個網站。
[06:59] 然後這邊點下去,他會連到那個網站上。
[07:02] 你就在網站上操作。
[07:03] 就這樣。
[07:04] 但是因為我在想藉由Line的關係。
[07:07] 他的AI客服沒有辦法做進去。
[07:09] 所以如果我們可以是真正的。
[07:12] 這邊是AI客服。
[07:14] 然後再有人。
[07:15] 我理解。
[07:16] 因為我本來想的就是這樣子。
[07:18] 這樣子你就可以完全避開Line那邊一大堆限制。
[07:22] 對啊。
[07:23] 但是現在問題是客人都會先請Line。
[07:26] 所以這沒問題啊。
[07:27] Line的前端要能夠有50%的等級。
[07:31] 能力。
[07:32] 真的解決不了。
[07:34] 我們可以進。
[07:36] 或者是極限大腦之類的。
[07:39] 就是很厲害的。
[07:41] 那我想像你就是想要做到。
[07:44] 像電子鎖但是類似和太汽車的。
[07:48] 沒有這個還很爛。
[07:50] 因為他的只是點。
[07:53] 點我要什麼而已。
[07:55] 這個不是AI機器人。
[07:57] 他這個只是叫做回復機器人而已。
[08:00] 我的意思是說。
[08:02] 像類似這樣的一個轉真正客服的動作。
[08:06] 但是一般客戶在問。
